1	5	78.69006753	78.69006753
1	7	78.69006753	81.86989765
1	9	90	83.65980825
1	11	90	84.80557109
1	13	90	85.60129465
1	15	90	86.18592517
1	17	90	86.63353934
1	19	90	86.9872125
3	-21	-78.69006753	-81.86989765
3	-19	-78.69006753	-81.02737339
3	-17	-78.69006753	-79.9920202
3	-15	-78.69006753	-78.69006753
3	-13	-73.61045967	-77.00538321
3	-11	-73.61045967	-74.7448813
3	-9	-73.61045967	-71.56505118
3	-7	-59.03624347	-66.80140949
3	-5	-59.03624347	-59.03624347
3	-3	-45	-45
3	-1	-16.38954033	-18.43494882
3	1	16.38954033	18.43494882
3	3	45	45
3	5	59.03624347	59.03624347
3	7	59.03624347	66.80140949
3	9	73.61045967	71.56505118
3	11	73.61045967	74.7448813
3	13	73.61045967	77.00538321
3	15	78.69006753	78.69006753
3	17	78.69006753	79.9920202
3	19	78.69006753	81.02737339
5	-21	-73.61045967	-76.60750225
5	-19	-73.61045967	-75.25643716
5	-17	-73.61045967	-73.61045967
5	-15	-73.61045967	-71.56505118
5	-13	-73.61045967	-68.96248897
5	-11	-59.03624347	-65.55604522
5	-9	-59.03624347	-60.9453959
5	-7	-45	-54.46232221
5	-5	-45	-45
5	-3	-30.96375653	-30.96375653
5	-1	-11.30993247	-11.30993247
5	1	11.30993247	11.30993247
5	3	30.96375653	30.96375653
5	5	45	45
5	7	45	54.46232221
5	9	59.03624347	60.9453959
5	11	59.03624347	65.55604522
5	13	73.61045967	68.96248897
5	15	73.61045967	71.56505118
5	17	73.61045967	73.61045967
5	19	73.61045967	75.25643716
7	-21	-73.61045967	-71.56505118
7	-19	-73.61045967	-69.77514057
7	-17	-59.03624347	-67.61986495
7	-15	-59.03624347	-64.98310652
7	-13	-59.03624347	-61.69924423
7	-11	-59.03624347	-57.52880771
7	-9	-45	-52.12501635
7	-7	-45	-45
7	-5	-45	-35.53767779
7	-3	-30.96375653	-23.19859051
7	-1	-11.30993247	-8.130102354
7	1	11.30993247	8.130102354
7	3	30.96375653	23.19859051
7	5	45	35.53767779
7	7	45	45
7	9	45	52.12501635
7	11	59.03624347	57.52880771
7	13	59.03624347	61.69924423
7	15	59.03624347	64.98310652
7	17	59.03624347	67.61986495
7	19	73.61045967	69.77514057
